"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"07/28/2022","3,151,913","60%","1,332,113","64%","173,264","55%","156,936","55%","24,413","86%","974,290","101%","6,421","47%"
"07/29/2022","2,932,846","56%","1,260,714","61%","166,723","53%","147,568","52%","23,697","84%","979,719","102%","5,532","40%"
"07/30/2022","2,074,421","73%","893,846","66%","89,426","70%","96,840","63%","15,068","95%","954,809","103%","56","1%"
"07/31/2022","1,649,097","71%","693,700","63%","77,991","74%","78,953","74%","14,046","85%","929,822","105%","3","0%"
"08/01/2022","2,739,262","53%","1,240,007","61%","151,752","49%","138,431","51%","22,892","82%","904,119","93%","5,673","42%"
"08/02/2022","3,070,101","60%","1,346,324","67%","173,023","55%","158,236","58%","24,865","89%","919,127","95%","6,452","48%"
"08/03/2022","3,124,038","61%","1,367,848","68%","173,751","56%","158,305","58%","26,785","96%","947,338","97%","6,170","46%"
"08/04/2022","3,049,076","59%","1,323,229","66%","174,491","56%","147,770","54%","25,326","91%","976,459","100%","5,409","40%"
"08/05/2022","2,822,155","55%","1,260,961","62%","161,323","52%","129,376","47%","23,824","85%","976,443","100%","4,754","36%"
"08/06/2022","1,999,580","68%","865,676","63%","95,704","72%","84,495","56%","14,893","90%","944,842","99%","33","1%"
"08/07/2022","1,542,311","65%","670,866","61%","78,449","75%","66,242","64%","14,367","80%","882,525","96%","153","4%"
"08/08/2022","2,705,428","53%","1,276,524","63%","165,363","53%","137,457","50%","22,965","82%","926,426","95%","5,496","41%"
"08/09/2022","3,013,784","59%","1,308,034","65%","173,284","55%","151,624","56%","25,056","90%","922,400","95%","5,935","44%"
"08/10/2022","3,134,434","61%","1,347,916","67%","178,656","57%","147,931","54%","26,098","93%","948,711","98%","6,117","46%"
"08/11/2022","3,093,548","60%","1,315,101","65%","171,390","55%","146,019","54%","25,553","91%","966,856","99%","5,842","44%"
"08/12/2022","2,963,913","58%","1,273,620","63%","175,220","56%","137,578","50%","24,849","89%","996,504","103%","5,422","41%"
"08/13/2022","2,089,217","71%","878,499","64%","103,227","77%","89,569","59%","15,889","96%","953,867","100%","1,632","35%"
"08/14/2022","1,677,803","70%","692,644","63%","88,242","85%","72,900","70%","14,492","81%","931,953","101%","1,339","37%"
"08/15/2022","2,768,347","54%","1,234,308","61%","161,519","52%","144,170","53%","23,199","83%","921,408","95%","5,395","40%"
"08/16/2022","3,045,892","59%","1,288,800","64%","173,651","56%","157,888","58%","24,994","89%","919,835","95%","6,228","47%"
"08/17/2022","3,074,027","60%","1,284,966","64%","172,248","55%","155,815","57%","25,904","93%","935,484","96%","6,080","45%"
"08/18/2022","3,077,928","60%","1,283,965","64%","181,136","58%","150,643","55%","25,701","92%","982,598","101%","5,834","44%"
"08/19/2022","2,918,737","57%","1,239,929","61%","164,682","53%","141,791","52%","24,141","86%","995,590","102%","5,132","38%"
"08/20/2022","2,038,622","69%","875,371","64%","96,552","72%","97,718","64%","15,903","96%","952,947","99%","1,699","36%"
"08/21/2022","1,619,422","68%","692,309","63%","84,669","81%","81,666","79%","14,617","81%","918,196","100%","1,272","35%"
"08/22/2022","2,622,885","51%","1,144,254","57%","160,918","51%","141,482","52%","21,887","78%","884,589","91%","5,185","39%"
"08/23/2022","2,992,615","58%","1,261,782","63%","173,898","56%","155,953","57%","24,448","88%","921,483","95%","5,903","44%"
"08/24/2022","3,020,710","59%","1,288,092","64%","177,790","57%","151,169","55%","25,654","92%","946,975","97%","6,036","45%"
"08/25/2022","3,090,901","60%","1,310,134","65%","177,178","57%","142,659","52%","24,964","89%","981,024","101%","6,122","46%"
"08/26/2022","2,863,653","56%","1,217,448","60%","171,765","55%","133,306","49%","23,417","84%","967,932","100%","4,969","37%"
"08/27/2022","2,066,542","70%","874,084","64%","103,192","77%","90,006","59%","15,575","94%","977,708","102%","2,214","47%"
"08/28/2022","1,651,689","69%","681,823","62%","86,867","83%","76,296","73%","14,506","81%","940,460","102%","1,816","51%"
"08/29/2022","2,836,374","55%","1,263,000","63%","180,588","58%","140,540","52%","22,503","81%","927,114","95%","5,705","43%"
"08/30/2022","3,091,873","60%","1,326,293","66%","195,986","63%","152,025","56%","24,300","87%","934,163","96%","6,228","47%"
"08/31/2022","3,144,027","61%","1,342,568","67%","197,154","63%","149,499","55%","25,541","91%","972,327","100%","6,261","47%"
"09/01/2022","3,114,667","54%","1,338,287","58%","186,311","57%","140,082","49%","25,382","85%","997,846","105%","6,189","36%"
"09/02/2022","2,925,306","51%","1,250,956","54%","185,153","57%","138,009","48%","24,696","83%","1,006,354","106%","5,307","31%"
"09/03/2022","2,116,811","66%","867,750","62%","116,405","98%","94,997","62%","15,863","93%","924,383","97%","2,455","59%"
"09/04/2022","1,802,349","71%","701,646","64%","97,728","98%","77,386","74%","15,428","90%","901,892","102%","1,894","65%"
"09/05/2022","1,691,887","66%","682,671","62%","93,198","94%","74,585","71%","9,722","57%","801,463","91%","1,977","68%"
"09/06/2022","3,063,503","53%","1,231,759","53%","190,260","58%","164,255","57%","24,963","84%","892,569","94%","6,016","35%"
"09/07/2022","3,444,556","60%","1,412,342","61%","203,983","62%","179,628","62%","26,773","90%","939,358","99%","6,698","39%"
"09/08/2022","3,644,407","63%","1,517,502","65%","199,489","61%","178,788","62%","27,121","91%","966,189","101%","7,185","42%"
"09/09/2022","3,481,756","60%","1,492,297","64%","189,930","58%","161,197","56%","25,627","86%","1,009,058","106%","6,432","38%"
"09/10/2022","2,356,865","73%","914,744","65%","103,789","88%","98,043","64%","15,345","90%","982,329","103%","1,948","47%"
"09/11/2022","1,737,251","68%","659,929","60%","82,638","83%","72,789","69%","14,467","84%","862,493","97%","1,275","44%"
"09/12/2022","3,382,150","59%","1,519,324","65%","187,548","57%","163,430","57%","24,947","84%","925,590","97%","6,863","40%"
"09/13/2022","3,618,354","63%","1,557,686","67%","200,171","61%","180,183","62%","26,317","89%","921,108","97%","7,552","44%"
"09/14/2022","3,741,978","65%","1,590,666","68%","202,713","62%","181,619","63%","28,124","95%","954,907","100%","7,740","45%"
"09/15/2022","3,747,731","65%","1,573,907","68%","197,284","60%","175,672","61%","27,391","92%","981,703","103%","7,725","45%"
"09/16/2022","3,502,358","61%","1,501,956","65%","184,424","56%","155,750","54%","26,025","88%","1,015,255","107%","6,797","40%"
"09/17/2022","2,350,888","73%","916,215","65%","99,403","84%","101,734","67%","15,828","92%","971,118","102%","2,693","65%"
"09/18/2022","1,844,317","72%","712,161","65%","86,329","87%","79,158","75%","15,588","91%","935,291","106%","1,944","66%"
"09/19/2022","3,369,999","58%","1,490,926","64%","187,831","57%","164,392","57%","24,491","82%","909,943","96%","7,155","42%"
"09/20/2022","3,767,024","65%","1,554,448","67%","203,873","62%","188,771","65%","26,148","88%","930,442","98%","7,962","47%"
"09/21/2022","3,878,782","67%","1,543,632","66%","204,572","62%","188,361","65%","27,479","93%","946,181","99%","8,112","47%"
"09/22/2022","3,732,919","65%","1,433,737","62%","190,703","58%","174,952","61%","26,136","88%","938,754","99%","7,883","46%"
"09/23/2022","3,626,482","63%","1,413,234","61%","190,670","58%","168,866","59%","25,738","87%","981,726","103%","6,902","40%"
"09/24/2022","2,377,091","74%","860,948","61%","98,192","83%","115,822","76%","15,593","91%","944,900","99%","1,975","48%"
"09/25/2022","1,759,832","69%","660,871","60%","81,212","82%","87,366","83%","14,770","86%","861,534","97%","1,582","54%"
"09/26/2022","2,812,853","49%","1,206,954","52%","177,235","54%","153,930","53%","21,532","73%","868,980","91%","5,848","34%"
"09/27/2022","3,204,114","56%","1,290,217","56%","192,275","59%","176,941","61%","24,344","82%","886,658","93%","6,744","39%"
"09/28/2022","3,712,354","64%","1,541,900","66%","201,525","62%","179,234","62%","27,423","92%","930,967","98%","7,903","46%"
"09/29/2022","3,707,751","64%","1,503,472","65%","194,288","59%","173,138","60%","26,857","90%","960,265","101%","7,738","45%"
"09/30/2022","3,503,239","61%","1,477,082","64%","181,549","55%","164,028","57%","26,614","90%","997,765","105%","6,623","39%"
"10/01/2022","2,032,983","61%","758,826","55%","72,081","64%","80,394","53%","13,718","78%","820,869","87%","1,855","41%"
"10/02/2022","1,621,851","66%","591,909","59%","61,918","68%","68,450","65%","13,897","76%","793,492","94%","1,302","34%"
"10/03/2022","3,370,048","59%","1,426,633","63%","173,268","55%","153,913","53%","25,390","85%","880,633","95%","6,824","38%"
"10/04/2022","3,397,689","59%","1,354,099","60%","181,887","58%","166,868","57%","25,282","85%","833,631","90%","6,825","38%"
"10/05/2022","3,077,346","54%","1,206,674","54%","176,091","56%","158,117","54%","24,305","82%","816,200","88%","6,012","34%"
"10/06/2022","3,848,909","67%","1,554,806","69%","203,783","65%","182,247","63%","28,527","96%","981,805","106%","7,907","44%"
"10/07/2022","3,591,080","62%","1,480,214","66%","204,261","65%","166,955","57%","26,725","90%","1,018,633","110%","6,865","38%"
"10/08/2022","2,397,249","72%","888,506","64%","114,687","101%","110,122","72%","15,448","87%","965,140","102%","1,975","43%"
"10/09/2022","1,917,721","78%","691,656","69%","97,984","108%","88,783","84%","14,776","80%","911,141","108%","2,200","58%"
"10/10/2022","2,556,722","44%","1,034,288","46%","163,310","52%","152,488","52%","17,806","60%","845,129","91%","4,220","24%"
"10/11/2022","3,649,405","63%","1,521,587","68%","203,885","65%","192,887","66%","26,435","89%","899,509","97%","7,841","44%"
"10/12/2022","3,776,129","66%","1,554,226","69%","203,866","65%","185,488","64%","28,193","95%","945,786","102%","7,820","44%"
"10/13/2022","3,682,799","64%","1,463,795","65%","195,360","62%","173,174","60%","26,422","89%","935,038","101%","7,593","43%"
"10/14/2022","3,578,772","62%","1,468,602","65%","186,594","59%","170,188","59%","26,877","90%","1,000,719","108%","6,877","39%"
"10/15/2022","2,363,501","71%","914,771","66%","100,804","89%","108,230","71%","15,945","90%","964,859","102%","1,897","42%"
"10/16/2022","1,773,903","72%","705,073","70%","80,395","88%","85,438","81%","15,338","84%","898,969","106%","1,385","37%"
"10/17/2022","3,314,497","58%","1,430,672","63%","182,855","58%","170,716","59%","24,045","81%","860,596","93%","6,952","39%"
"10/18/2022","3,693,627","64%","1,510,826","67%","199,026","63%","191,540","66%","26,135","88%","894,481","96%","7,917","44%"
"10/19/2022","3,814,404","66%","1,545,140","69%","202,921","65%","185,202","64%","28,002","94%","916,246","99%","7,934","44%"
"10/20/2022","3,810,901","66%","1,532,692","68%","201,886","64%","180,234","62%","27,649","93%","970,479","105%","7,784","44%"
"10/21/2022","3,570,334","62%","1,452,280","64%","185,797","59%","166,539","57%","26,385","89%","997,993","108%","6,848","38%"
"10/22/2022","2,430,406","73%","916,539","66%","97,921","86%","122,863","81%","15,832","90%","970,862","103%","90","2%"
"10/23/2022","1,740,520","71%","668,183","67%","76,024","83%","83,665","80%","14,434","79%","872,119","103%","19","1%"
"10/24/2022","3,357,840","58%","1,432,728","64%","182,390","58%","161,772","56%","24,643","83%","887,372","96%","6,929","39%"
"10/25/2022","3,712,582","65%","1,512,725","67%","200,671","64%","183,507","63%","27,080","91%","903,935","97%","7,864","44%"
"10/26/2022","3,794,534","66%","1,539,557","68%","201,843","64%","181,254","62%","27,891","94%","932,571","100%","7,978","45%"
"10/27/2022","3,892,985","68%","1,543,031","68%","196,789","63%","179,032","62%","28,035","94%","971,657","105%","7,848","44%"
"10/28/2022","3,624,748","63%","1,455,834","65%","179,633","57%","159,109","55%","26,237","88%","992,291","107%","6,647","37%"
"10/29/2022","2,440,601","73%","912,721","66%","86,888","77%","102,975","68%","15,778","89%","949,043","100%","42","1%"
"10/30/2022","1,875,953","76%","711,004","71%","69,358","76%","80,576","77%","15,324","83%","903,170","107%","5","0%"
"10/31/2022","3,410,892","59%","1,394,453","62%","177,547","56%","157,055","54%","24,178","81%","862,337","93%","6,759","38%"
"11/01/2022","3,706,707","66%","1,501,329","69%","196,102","60%","178,425","62%","26,993","86%","911,552","97%","7,756","46%"
"11/02/2022","3,788,123","67%","1,549,724","71%","198,277","60%","181,158","63%","28,493","91%","918,835","97%","7,788","46%"
"11/03/2022","3,802,455","67%","1,521,975","70%","197,940","60%","178,498","62%","28,364","91%","941,513","100%","7,676","45%"
"11/04/2022","3,586,358","64%","1,459,619","67%","180,084","55%","161,378","56%","27,340","88%","975,347","103%","6,813","40%"
"11/05/2022","2,449,943","78%","918,127","70%","96,845","84%","110,793","73%","16,790","99%","940,206","103%","2,628","76%"
"11/06/2022","2,116,063","84%","648,085","65%","92,648","98%","94,517","91%","13,926","74%","779,295","95%","3,122","102%"
"11/07/2022","3,456,868","61%","1,478,731","68%","190,295","58%","168,401","59%","26,193","84%","901,997","96%","7,365","43%"
"11/08/2022","3,431,700","61%","1,356,894","62%","201,028","61%","183,142","64%","25,939","83%","888,462","94%","6,463","38%"
"11/09/2022","3,772,030","67%","1,517,250","69%","199,030","61%","180,581","63%","28,589","92%","921,392","98%","7,722","45%"
"11/10/2022","3,802,230","67%","1,516,812","69%","203,722","62%","180,584","63%","28,385","91%","976,695","104%","7,749","46%"
"11/11/2022","2,994,708","119%","1,077,574","108%","172,756","183%","154,511","148%","20,634","110%","870,209","106%","4,558","149%"
"11/12/2022","2,431,419","77%","893,837","68%","94,911","82%","106,101","70%","15,153","89%","889,070","98%","2,262","65%"
"11/13/2022","1,794,024","71%","662,034","66%","76,869","81%","76,460","73%","15,544","83%","859,975","104%","1,658","54%"
"11/14/2022","3,401,075","60%","1,441,705","66%","181,582","55%","165,573","58%","25,728","82%","889,804","94%","7,135","42%"
"11/15/2022","3,713,627","66%","1,483,782","68%","196,179","60%","182,790","64%","28,155","90%","903,257","96%","7,776","46%"
"11/16/2022","3,751,773","67%","1,484,607","68%","194,893","59%","179,233","63%","28,574","92%","912,685","97%","7,589","45%"
"11/17/2022","3,797,815","67%","1,493,119","68%","193,797","59%","178,147","62%","28,778","92%","962,670","102%","7,633","45%"
"11/18/2022","3,539,202","63%","1,412,974","65%","183,576","56%","161,777","57%","27,236","87%","981,421","104%","6,546","38%"
"11/19/2022","2,323,449","74%","864,766","66%","97,654","85%","101,076","67%","16,076","95%","929,687","102%","1,630","47%"
"11/20/2022","1,721,187","68%","645,986","65%","74,524","79%","74,870","72%","15,556","83%","830,876","101%","1,079","35%"
"11/21/2022","3,363,626","60%","1,393,031","64%","185,570","57%","166,517","58%","25,766","83%","896,487","95%","7,017","41%"
"11/22/2022","3,548,882","63%","1,447,618","66%","200,264","61%","183,771","64%","27,957","90%","982,740","104%","7,462","44%"
"11/23/2022","3,263,998","58%","1,358,016","62%","210,438","64%","184,135","64%","25,032","80%","983,719","104%","6,862","40%"
"11/24/2022","1,382,266","55%","515,903","52%","90,771","96%","90,057","87%","18,369","98%","859,064","104%","2,006","65%"
"11/25/2022","2,058,658","82%","842,892","85%","163,354","173%","148,368","143%","12,834","68%","766,290","93%","3,361","110%"
"11/26/2022","1,999,608","63%","781,665","59%","105,304","91%","106,685","71%","12,576","74%","852,829","94%","2,286","66%"
"11/27/2022","1,476,228","59%","562,073","56%","79,973","85%","76,680","74%","13,063","69%","814,703","99%","1,408","46%"
"11/28/2022","3,265,971","58%","1,397,963","64%","186,710","57%","163,694","57%","24,969","80%","904,337","96%","7,120","42%"
"11/29/2022","3,596,894","64%","1,455,294","66%","192,494","59%","181,370","63%","27,009","87%","891,057","94%","7,510","44%"
"11/30/2022","3,568,413","63%","1,356,729","62%","189,152","58%","177,367","62%","26,469","85%","857,882","91%","7,204","42%"
"12/01/2022","3,770,495","71%","1,459,934","73%","181,825","58%","166,856","60%","27,018","93%","931,376","105%","7,538","48%"
"12/02/2022","3,600,504","67%","1,395,642","70%","172,860","55%","152,746","55%","27,007","93%","933,219","105%","6,576","42%"
"12/03/2022","2,291,687","69%","760,109","60%","87,730","68%","89,976","57%","15,540","90%","815,868","92%","1,467","30%"
"12/04/2022","1,990,479","78%","681,713","70%","81,381","76%","80,173","75%","15,763","88%","804,122","101%","1,266","37%"
"12/05/2022","3,481,640","65%","1,429,308","71%","183,238","58%","164,873","59%","26,409","91%","873,767","99%","7,013","45%"
"12/06/2022","3,753,299","70%","1,414,979","71%","195,892","62%","178,862","64%","27,305","94%","878,388","99%","7,447","48%"
"12/07/2022","3,835,333","72%","1,442,871","72%","194,436","62%","178,345","64%","27,941","96%","899,007","101%","7,526","48%"
"12/08/2022","3,931,499","74%","1,480,877","74%","192,958","61%","182,314","65%","28,292","97%","948,091","107%","7,541","48%"
"12/09/2022","3,710,928","69%","1,386,473","69%","185,104","59%","165,147","59%","26,213","90%","964,167","109%","6,379","41%"
"12/10/2022","2,663,493","80%","869,320","69%","112,142","88%","119,858","76%","16,232","94%","900,034","102%","1,873","38%"
"12/11/2022","1,865,579","73%","618,870","63%","77,607","73%","74,273","69%","14,949","84%","777,867","98%","1,103","32%"
"12/12/2022","3,466,978","65%","1,384,864","69%","182,973","58%","163,516","59%","25,771","88%","876,300","99%","6,838","44%"
"12/13/2022","3,763,568","70%","1,437,228","72%","197,613","63%","183,214","66%","28,234","97%","908,198","103%","7,570","49%"
"12/14/2022","3,777,173","71%","1,435,020","72%","196,921","62%","183,484","66%","29,081","100%","940,858","106%","7,400","47%"
"12/15/2022","3,726,154","70%","1,363,160","68%","191,261","61%","173,709","62%","27,034","93%","931,870","105%","7,001","45%"
"12/16/2022","3,270,016","61%","1,221,634","61%","170,615","54%","151,244","54%","24,074","83%","917,332","104%","5,823","37%"
"12/17/2022","2,577,771","78%","884,283","70%","114,272","89%","123,286","78%","16,788","97%","933,667","106%","2,071","42%"
"12/18/2022","1,967,199","77%","668,994","68%","87,146","82%","87,425","81%","16,036","90%","842,911","106%","1,487","44%"
"12/19/2022","3,381,411","63%","1,352,455","68%","178,278","56%","159,383","57%","25,529","88%","886,717","100%","6,591","42%"
"12/20/2022","3,586,084","67%","1,398,728","70%","191,991","61%","173,346","62%","27,148","93%","923,333","104%","7,046","45%"
"12/21/2022","3,563,236","67%","1,393,290","70%","191,684","61%","168,379","60%","28,480","98%","953,676","108%","6,993","45%"
"12/22/2022","3,187,083","60%","1,269,330","63%","177,675","56%","147,366","53%","25,244","87%","936,662","106%","5,728","37%"
"12/23/2022","2,738,016","51%","1,057,686","53%","163,716","52%","138,857","50%","20,359","70%","812,831","92%","4,523","29%"
"12/24/2022","1,411,469","43%","497,129","39%","61,701","48%","60,373","38%","12,759","74%","746,316","84%","1,304","26%"
"12/25/2022","1,008,452","40%","321,245","33%","51,896","49%","47,454","44%","13,709","77%","730,783","92%","1,005","30%"
"12/26/2022","1,812,842","71%","644,828","66%","87,401","82%","89,137","83%","9,327","52%","764,686","96%","2,214","65%"
"12/27/2022","2,729,514","51%","1,027,687","51%","178,880","57%","156,503","56%","21,363","73%","881,989","100%","5,228","34%"
"12/28/2022","2,947,028","55%","1,088,279","54%","182,226","58%","163,499","59%","23,571","81%","891,790","101%","5,407","35%"
"12/29/2022","3,039,432","57%","1,099,513","55%","189,075","60%","167,129","60%","23,200","80%","916,565","103%","5,597","36%"
"12/30/2022","3,063,480","57%","1,087,122","54%","193,989","61%","176,215","63%","22,951","79%","926,881","105%","5,338","34%"
"12/31/2022","1,927,101","58%","651,474","51%","81,590","64%","81,198","52%","14,090","82%","686,434","78%","1,847","37%"
"01/01/2023","1,675,507","80%","475,226","52%","67,722","82%","66,309","73%","11,476","85%","737,533","108%","1,771","65%"
"01/02/2023","1,938,154","93%","739,507","81%","76,247","92%","72,403","80%","10,136","75%","692,984","102%","2,671","98%"
"01/03/2023","3,175,777","62%","1,268,913","62%","179,109","59%","167,136","62%","24,868","88%","815,532","94%","6,853","42%"
"01/04/2023","3,413,052","66%","1,391,449","68%","182,834","61%","170,847","63%","26,848","95%","839,120","97%","7,282","44%"
"01/05/2023","3,428,520","67%","1,378,698","67%","175,278","58%","166,642","62%","26,808","95%","859,218","99%","7,042","43%"
"01/06/2023","3,229,858","63%","1,319,595","64%","161,259","53%","142,524","53%","25,824","91%","873,654","101%","6,050","37%"
"01/07/2023","2,116,138","78%","806,981","67%","87,215","90%","85,244","66%","14,828","102%","808,570","106%","2,297","56%"
"01/08/2023","1,610,764","77%","628,612","68%","68,647","83%","64,893","72%","15,157","112%","739,656","108%","1,529","56%"
"01/09/2023","3,145,743","61%","1,353,638","66%","173,594","57%","157,335","58%","24,923","88%","829,372","95%","6,629","40%"
"01/10/2023","3,469,177","67%","1,412,543","69%","196,817","65%","179,530","67%","27,309","97%","859,974","99%","7,414","45%"
"01/11/2023","3,508,962","68%","1,421,914","69%","188,904","63%","174,349","65%","27,991","99%","864,282","99%","7,166","44%"
"01/12/2023","3,472,709","68%","1,364,715","67%","188,850","62%","168,701","63%","27,119","96%","881,579","101%","7,150","44%"
"01/13/2023","3,270,020","64%","1,345,748","66%","167,475","55%","147,885","55%","26,085","92%","922,864","106%","6,042","37%"
"01/14/2023","2,072,387","77%","785,952","66%","84,718","87%","83,565","64%","15,407","106%","817,979","107%","2,059","50%"
"01/15/2023","1,705,804","82%","621,041","68%","72,479","88%","70,493","78%","15,198","113%","757,778","111%","1,510","55%"
"01/16/2023","2,172,218","104%","884,152","96%","82,416","100%","75,892","84%","14,617","108%","812,347","119%","3,140","115%"
"01/17/2023","3,451,604","67%","1,399,573","68%","193,345","64%","183,674","68%","27,214","96%","870,650","100%","7,492","46%"
"01/18/2023","3,603,344","70%","1,449,590","71%","198,264","66%","182,209","68%","29,223","103%","877,542","101%","7,488","46%"
"01/19/2023","3,492,226","68%","1,327,804","65%","179,752","59%","170,122","63%","26,737","95%","862,336","99%","6,925","42%"
"01/20/2023","3,375,887","66%","1,383,181","68%","173,943","58%","150,003","56%","26,548","94%","915,022","105%","6,192","38%"
"01/21/2023","2,137,169","79%","823,236","69%","88,435","91%","84,763","65%","15,580","107%","826,850","108%","2,058","50%"
"01/22/2023","1,593,386","76%","611,151","67%","64,883","78%","61,728","68%","14,721","109%","744,230","109%","1,479","54%"
"01/23/2023","3,135,214","61%","1,281,037","63%","172,927","57%","155,439","58%","25,087","89%","809,261","93%","6,210","38%"
"01/24/2023","3,566,756","69%","1,410,676","69%","196,319","65%","182,127","68%","27,701","98%","863,886","99%","7,335","45%"
"01/25/2023","3,511,071","68%","1,342,717","66%","188,247","62%","171,748","64%","26,738","95%","815,210","94%","6,937","42%"
"01/26/2023","3,629,029","71%","1,408,545","69%","190,219","63%","173,696","65%","27,061","96%","890,830","103%","7,093","43%"
"01/27/2023","3,335,372","65%","1,341,589","66%","178,881","59%","149,763","56%","26,826","95%","920,095","106%","6,051","37%"
"01/28/2023","2,248,107","83%","861,680","72%","98,609","101%","89,845","69%","15,577","107%","841,863","110%","2,333","57%"
"01/29/2023","1,637,398","78%","647,923","71%","73,109","88%","65,422","72%","15,371","114%","764,625","112%","1,694","62%"
"01/30/2023","3,223,530","63%","1,371,537","67%","180,476","60%","159,176","59%","25,676","91%","850,406","98%","6,624","40%"
"01/31/2023","3,654,404","71%","1,365,926","67%","198,755","66%","183,484","68%","27,308","97%","852,930","98%","7,593","46%"
"02/01/2023","3,682,758","68%","1,460,146","68%","184,043","61%","169,846","63%","28,492","97%","868,518","98%","7,588","47%"
"02/02/2023","3,699,932","68%","1,478,477","69%","187,799","62%","169,864","63%","27,917","95%","894,790","101%","7,457","46%"
"02/03/2023","3,189,550","59%","1,246,821","58%","158,579","52%","135,908","50%","26,238","89%","887,417","100%","5,819","36%"
"02/04/2023","1,742,435","61%","598,818","47%","69,433","74%","64,032","49%","13,439","83%","737,000","89%","1,555","36%"
"02/05/2023","1,625,375","74%","650,623","67%","69,379","89%","62,639","69%","15,413","91%","758,529","101%","1,522","54%"
"02/06/2023","3,372,445","62%","1,431,232","67%","181,320","60%","157,813","59%","26,639","91%","849,008","96%","7,068","44%"
"02/07/2023","3,738,539","69%","1,491,417","69%","201,438","67%","183,389","68%","28,688","97%","867,827","98%","7,736","48%"
"02/08/2023","3,780,682","70%","1,513,135","70%","197,370","65%","180,852","67%","29,653","101%","884,755","100%","7,647","47%"
"02/09/2023","3,754,859","69%","1,462,622","68%","193,326","64%","172,507","64%","28,515","97%","909,007","103%","7,403","46%"
"02/10/2023","3,539,529","65%","1,422,781","66%","179,637","59%","154,760","57%","28,094","95%","947,991","107%","6,477","40%"
"02/11/2023","2,333,625","81%","865,782","68%","94,434","101%","88,281","67%","16,638","102%","865,505","104%","1,615","38%"
"02/12/2023","1,746,099","80%","659,496","68%","67,457","86%","63,383","69%","16,305","97%","749,533","99%","1,227","44%"
"02/13/2023","3,303,337","61%","1,381,524","64%","180,002","59%","159,741","59%","25,900","88%","854,394","97%","6,188","38%"
"02/14/2023","3,812,943","70%","1,480,867","69%","200,327","66%","179,811","67%","29,001","99%","897,813","102%","7,557","47%"
"02/15/2023","3,762,817","69%","1,499,155","70%","197,344","65%","181,992","68%","29,119","99%","904,926","102%","7,491","46%"
"02/16/2023","3,683,782","68%","1,461,093","68%","189,802","63%","172,189","64%","28,364","96%","915,758","104%","7,318","45%"
"02/17/2023","3,253,165","60%","1,315,466","61%","172,113","57%","150,151","56%","26,759","91%","936,689","106%","5,892","36%"
"02/18/2023","2,271,106","79%","822,505","65%","91,478","98%","93,213","71%","15,612","96%","860,646","103%","1,266","30%"
"02/19/2023","1,824,136","83%","639,980","66%","75,448","97%","75,064","82%","16,165","96%","784,650","104%","959","34%"
"02/20/2023","2,238,557","102%","929,439","95%","90,371","116%","79,984","88%","14,818","88%","809,578","107%","1,547","55%"
"02/21/2023","3,325,542","61%","1,273,578","59%","194,967","64%","174,283","65%","27,224","93%","864,047","98%","6,525","40%"
"02/22/2023","3,454,362","64%","1,305,744","61%","193,753","64%","171,187","64%","27,895","95%","869,960","98%","6,538","40%"
"02/23/2023","3,498,367","64%","1,328,927","62%","188,438","62%","167,193","62%","27,336","93%","906,322","103%","6,695","41%"
"02/24/2023","3,246,699","60%","1,246,797","58%","179,793","59%","153,058","57%","26,077","89%","928,057","105%","5,551","34%"
"02/25/2023","2,043,635","71%","800,947","63%","86,403","92%","81,742","62%","15,461","95%","831,613","100%","1,396","33%"
"02/26/2023","1,625,191","74%","676,041","69%","74,226","95%","67,702","74%","15,891","94%","807,475","107%","1,095","39%"
"02/27/2023","3,337,916","62%","1,423,292","66%","180,277","60%","160,346","60%","26,730","91%","854,625","97%","6,752","42%"
"02/28/2023","3,412,079","63%","1,349,173","63%","177,532","59%","139,326","52%","26,116","89%","751,643","85%","6,690","41%"
"03/01/2023","3,780,713","68%","1,511,792","67%","192,142","61%","176,661","64%","29,449","99%","901,530","98%","7,403","46%"
"03/02/2023","3,765,925","68%","1,493,623","67%","195,243","62%","176,678","64%","28,978","97%","934,427","101%","7,434","47%"
"03/03/2023","3,481,830","63%","1,417,670","63%","172,623","55%","150,603","55%","27,298","92%","933,992","101%","6,167","39%"
"03/04/2023","2,173,217","71%","870,341","65%","96,720","90%","84,352","62%","16,263","96%","844,751","97%","1,449","29%"
"03/05/2023","1,772,121","77%","712,408","72%","81,079","93%","72,918","77%","16,956","96%","831,376","103%","1,215","39%"
"03/06/2023","3,427,019","62%","1,460,599","65%","185,896","59%","163,314","59%","27,550","93%","875,696","95%","6,849","43%"
"03/07/2023","3,773,780","68%","1,490,272","66%","205,559","66%","186,615","68%","28,417","96%","887,227","96%","7,607","48%"
